ValidName,Synonyms
Hyponephele pulchra baroghila,Maniola baroghila
Hyponephele pulchra mussitans,Hyponephele mussitans
Hyponephele pulchra neoza,"Epinephile neoza, Epinephele kashmirensis"
Hyponephele pulchra pseudomussitans,Hyponephele pseudomussitans
Hyponephele pulchra sylvia,Maniola sylvia
Hyponephele pulchra,"Epinephele pulchra, Chortobius pulchra  , Maniola pulchra"
Hyponephele rubriceps toharica,"Hyponephele toharica, Hyponephele karakongrada"
Hyponephele rubriceps,Epinephele rubriceps
Hyponephele rueckbeili,Epinephele rueckbeili
Hyponephele sifanica deiphobe,"Epinephele deiphobe, Hyponephela nordoccidentaris"
Hyponephele sifanica,Epinephele sifanica
Hyponephele susurrans clenchi,Hyponephele clenchi
Hyponephele susurrans,
Hyponephele tenuistigma laspura,Maniola laspura
Hyponephele tenuistigma sawanoi,Hyponephele sawanoi
Hyponephele tenuistigma,Maniola tenuistigma
Hyponephele tristis jasavi,Hyponephele jasavi
Hyponephele tristis leontyi,Hyponephele leontyi
Hyponephele tristis murzini,Hyponephele murzini
Hyponephele tristis prasolovi,Hyponephele prasolovi
Hyponephele tristis tshikolovetsi,Hyponephele tshikolovetsi
Hyponephele tristis,Epinephele tristis
Hyponephele wagneri mandane,"Epinephele schmidti, Satyrus mandane"
Hyponephele wagneri,Satyrus wagneri
Hyposcada anchiala abidula,Hyposcada abidula
Hyposcada anchiala cynara,Hyposcada cynara
Hyposcada anchiala ecuadorina,Hyposcada ecuadorina
Hyposcada anchiala fallax,Ithomia fallax
Hyposcada anchiala interrupta,Hyposcada interrupta
Hyposcada anchiala kezia,Ithomia kezia
Hyposcada anchiala mendax,Hyposcada mendax
Hyposcada anchiala rezia,Hyposcada rezia
Hyposcada anchiala richardsi,Hyposcada richardsi
Hyposcada anchiala,"Ithomia anchiala, Hyposcada anchialia"
Hyposcada attilodes,
Hyposcada dujardini humboldti,Hyposcada humboldti
Hyposcada dujardini,
Hyposcada gallardi,
Hyposcada illinissa abida,Ithomia abida
Hyposcada illinissa aesion,Ithomia aesion
Hyposcada illinissa brisotis,Leucothyris brisotis
Hyposcada illinissa cynthia,Hyposcada cynthia
Hyposcada illinissa dolabella,Ithomia dolabella
Hyposcada illinissa ida,Hyposcada ida
Hyposcada illinissa idina,Hyposcada idina
Hyposcada illinissa illerdinoides,Ithomia illerdinoides
Hyposcada illinissa margarita,Hyposcada margarita
Hyposcada illinissa napirida,Hyposcada napirida
Hyposcada illinissa napoensis,Hyposcada napoensis
Hyposcada illinissa roberto,Hyposcada roberto
Hyposcada illinissa sinilia,Ithomia sinilia
Hyposcada illinissa tundayme,Hyposcada tundayme
Hyposcada illinissa,"Hyposcada multimacula, Ithomia illinissa, Hyposcada sinilia"
Hyposcada kena flexibilis,Leucothyris flexibilis
Hyposcada kena luisa,Leucothyris luisa
Hyposcada kena virina,Leucothyris virina
Hyposcada kena,Ithomia kena
Hyposcada schausi lactea,Hyposcada lactea
Hyposcada schausi,
Hyposcada taliata,"Ithomia taliata, Oleria taliata"
Hyposcada virginiana adelphina,Ithomia adelphina
Hyposcada virginiana consobrina,"Hyposcada columbiana, Ithomia consobrina"
Hyposcada virginiana evanides,Hyposcada evanides
Hyposcada virginiana neustetteri,Hyposcada neustetteri
Hyposcada virginiana,"Mechanitis virginia, Hyposcada nigricosta, Ithomia virginiana, Hyposcada batesiana"
Hyposcada zarepha bonplandi,Hyposcada bonplandi
Hyposcada zarepha pseudegra,Leucothyris pseudegra
Hyposcada zarepha,"Ithomia zerepha, Ithomia zarepha"
Hypothyris anastasia acreana,"Hypothyris acrena, Hypothyris zeros"
Hypothyris anastasia anastasina,Ceratinia anastasina
Hypothyris anastasia arpi,Hypothyris arpi
Hypothyris anastasia bicolora,"Ceratinia bicolora, Hypothyris inca"
Hypothyris anastasia castanea,"Ceratinia medea, Ceratinia castanea"
Hypothyris anastasia honesta,"Hypothyris aureata, Ceratinia honesta"
Hypothyris anastasia niphas,Hypothyris niphas
Hypothyris anastasia porsenna,"Ceratinia amabilis, Ceratinia porsenna"
Hypothyris anastasia,Ceratinia anastasia
Hypothyris cantobrica carvalhoi,Rhodussa carvalhoi
Hypothyris cantobrica nundina,Rhodussa nundina
Hypothyris cantobrica schunkeae,Rhodussa schunkeae
Hypothyris cantobrica,"Ithomia cantobrica, Ceratinia pamina, Rhodussa cantobrica"
Hypothyris daphnis amapaensis,"Hypothyris amapaensis, Hypothyris lacommei"
Hypothyris daphnis clenchi,Hypothyris clenchi
Hypothyris daphnis daphnoides,Hypothyris daphnoides
Hypothyris daphnis madeira,Hypothyris madeira
Hypothyris daphnis,
Hypothyris euclea barii,Ceratinia barii
Hypothyris euclea caldasensis,Hypothyris caldasensis
Hypothyris euclea callanga,Ceratinia callanga
Hypothyris euclea forbesi,Hypothyris forbesi
Hypothyris euclea intermedia,Ceratinia intermedia
Hypothyris euclea interrupta,Ceratinia interrupta
Hypothyris euclea laphria,Ithomia laphria
Hypothyris euclea micheneri,Hypothyris micheneri
Hypothyris euclea nina,Ceratinia nina
Hypothyris euclea nonia,Hypothyris nonia
Hypothyris euclea peruviana,"Ceratinia hemimelas, Ceratinia peruviana"
Hypothyris euclea philetaera,"Hypothyris bifasciata, Ceratinia bifasciata, Hypothyris neustetteri, Ithomia philetaera"
Hypothyris euclea pyrippe,"Ceratinia napona, Ceratinia tenna"
Hypothyris euclea valora,"Ithomia leucania, Ceratinia valora"
Hypothyris euclea,"Heliconia euclea, Ithomia fenestella"
Hypothyris fluonia baiocchii,Hypothyris baiocchii
Hypothyris fluonia berna,Ceratinia berna
Hypothyris fluonia flavigera,Ceratinia flavigera
Hypothyris fluonia fulvifascia,Ceratinia fulvifascia
Hypothyris fluonia hygia,"Napeogenes hygia, Ceratinia herbita"
Hypothyris fluonia iberina,Hypothyris iberina
Hypothyris fluonia manaos,Ceratinia manaos
Hypothyris fluonia pardalina,"Ceratinia pantherina, Ceratinia tigrina, Ceratinia pardalina"
Hypothyris fluonia rowena,Ithomia rowena
Hypothyris fluonia seminigra,"Hypothyris satterwhitei, Napeogenes seminigra"
Hypothyris fluonia uchiza,Hypothyris uchiza
Hypothyris fluonia viola,"Ceratinia boliviensis, Ceratinia viola"
Hypothyris fluonia violantilla,Hypothyris violantilla
Hypothyris fluonia,"Ceratinia bicolor, Ceratinia clara, Ceratinia wickhami, Ithomia fluonia"
Hypothyris gemella anduzei,Hypothyris anduzei
Hypothyris gemella batesi,Hypothyris batesi
Hypothyris gemella foxi,Hypothyris foxi
Hypothyris gemella mossi,Hypothyris mossi
Hypothyris gemella pseudoglycon,Hypothyris pseudoglycon
Hypothyris gemella,
Hypothyris leprieuri catilla,Ithomia catilla
Hypothyris leprieuri ignorata,Ceratinia ignorata
Hypothyris leprieuri michaelisi,Ceratinia michaelisi
Hypothyris leprieuri nemea,"Ceratinia nemea, Hypothyris surinamensis"
Hypothyris leprieuri ninyas,Hypothyris ninyas
Hypothyris leprieuri,Heliconia leprieuri
Hypothyris lycaste antonia,Ithomia antonia
Hypothyris lycaste callispila,"Ithomia callispila, Ceratinia mylassa"
Hypothyris lycaste dionaea,"Hyalyris kremkyi, Ithomia dionaea"
Hypothyris lycaste fraterna,Ceratinia fraterna
Hypothyris lycaste glabra,"Napeogenes glabra, Ceratinia inana"
Hypothyris lycaste limosa,Hypothyris limosa
Hypothyris lycaste limpida,"Ceratinia limpida, Pseudomechanitis paradoxa"
Hypothyris lycaste mergelena,"Ithomia mergelena, Dynothea lycaste  , Hypothiris lycaste  , Ceratinia megalopolis  , Hypothiris mergelana  , Ceratinia dionaea  , Ceratinia callispila  , Hypothiris antonia"
Hypothyris lycaste,"Ithomia megalopolis, Ithomia cleis, Papilio lycaste"
Hypothyris mamercus maenas,Ceratinia maenas
Hypothyris mamercus poemne,Hypothyris poemne
Hypothyris mamercus polymnides,"Ceratinia menans, Ceratinia polymnides"
Hypothyris mamercus,"Mechanitis mamercus, Ithomia aemilia, Ithomia mamercus  , Hypothiris mamercus"
Hypothyris mansuetus amica,Ceratinia amica
Hypothyris mansuetus deemae,Hypothyris deemae
Hypothyris mansuetus klotsi,Hypothyris klotsi
Hypothyris mansuetus meterus,Mechanitis meterus
Hypothyris mansuetus zephyrus,Hypothyris zephyrus
Hypothyris mansuetus,Mechanitis mansuetus
Hypothyris moebiusi unicolora,Ceratinia unicolora
Hypothyris moebiusi,Ceratinia moebiusi
Hypothyris ninonia aetha,Hypothyris aetha
Hypothyris ninonia antonina,Ceratinia antonina
Hypothyris ninonia apollinis,Ceratinia apollinis
Hypothyris ninonia caquetacola,Hypothyris caquetacola
Hypothyris ninonia colophonia,Hypothyris colophonia
Hypothyris ninonia completa,"Napeogenes ampliusmaculata, Hypothyris marginepura, Ceratinia completa, Ceratinia maculata"
Hypothyris ninonia completomaculata,"Hypothyris luxuriosa, Ceratinia completomaculata, Ceratinia yeda"
Hypothyris ninonia connexa,Ceratinia connexa
Hypothyris ninonia cornelie,"Heliconia cornelie, Ceratinia sellana, Ceratinia chapadensis"
Hypothyris ninonia daeta,"Mansueta vitrea, Ithomia anyta, Heliconia daeta"
Hypothyris ninonia daetina,"Ceratinia daetina, Ceratinia evanescens"
Hypothyris ninonia diphes,Hypothyris diphes
Hypothyris ninonia fimbria,"Ithomia fimbria, Hypothiris ninonia"
Hypothyris ninonia granadensis,Ceratinia granadensis
Hypothyris ninonia latefasciata,"Hypothyris fugitiva, Ceratinia latefasciata"
Hypothyris ninonia latipennis,"Hypothyris tessmani, Ceratinia latipennis, Ceratinia pachiteae"
Hypothyris ninonia lema,Hypothyris lema
Hypothyris ninonia matouryensis,Hypothyris matouryensis
Hypothyris ninonia mutilla,"Ceratinia philidas, Ithomia mutilla, Ceratinia vallina"
Hypothyris ninonia mysotis,"Ceratinia mysotis, Hypothyris colosseros"
Hypothyris ninonia neimyi,Ceratinia neimyi
Hypothyris ninonia pellucida,Ceratinia pellucida
Hypothyris ninonia,Ner?is ninonia
Hypothyris semifulva angelina,Ceratinia angelina
Hypothyris semifulva dalmeidai,"Hypothyris dalmeida, Hypothyris dalmeidae, Hypothyris dalmeidai"
Hypothyris semifulva fulminans,Ceratinia fulminans
Hypothyris semifulva meteroides,Hypothyris meteroides
Hypothyris semifulva pallisteri,Hypothyris pallisteri
Hypothyris semifulva putumayoensis,Hypothyris putumayoensis
Hypothyris semifulva satura,Ceratinia satura
Hypothyris semifulva soror,Ceratinia soror
Hypothyris semifulva virgilini,Ceratinia virgilini
Hypothyris semifulva,"Ceratinia occulta, Ithomia semifulva"
Hypothyris thea mayi,Hypothyris mayi
Hypothyris thea theatina,Ceratinia theatina
Hypothyris thea,"Ithomia thea, Hypothyris vestita, Hypothiris thea"
Hypothyris vallonia glycon,Napeogenes glycon
Hypothyris vallonia,"Ithomia vallonia, Hyaliris vallonia"
Hypothyris xanthostola bellatula,Garsauritis bellatula
Hypothyris xanthostola desmora,"Ceratinia desmora, Hypothyris desmora"
Hypothyris xanthostola ipoti,Hypothyris ipoti
Hypothyris xanthostola,"Napeogenes heterogyna, Ceratinia xanthostola, Garsaurites xanthostola  , Garsauritis xanthostola"
Ianussiusa maso santa,Ianussiusa santa
Ianussiusa maso,"Cheimas? polyommatus, Lymanopoda maso, Cheimas polyommatus"
Idea agamarschana cadelli,Hestia cadelli
Idea agamarschana hadeni,Hestia hadeni
Idea agamarschana,"Hestia margherita, Hestia agamarschana, Hestia arrakana, Hestina hadeni"
Idea blanchardii djampeana,Hestia djampeana
Idea blanchardii kalaotoaensis,"Idea kalaotoaensis, Idea kalaotoa"
Idea blanchardii kuehni,"Hestia kuehni, Hestia garunda"
Idea blanchardii marosiana,Nectaria marosiana
Idea blanchardii munaensis,Hestia munaensis
Idea blanchardii paluana,Hestia paluana
Idea blanchardii phlegeton,Nectaria phlegeton
Idea blanchardii silayara,Hestia silayara
Idea blanchardii togiana,Idea togiana
Idea blanchardii,Idea tondana
Idea durvillei hemera,"Nectaria hemera, Hestia strigata"
Idea durvillei keyensis,"Hestia keyensis, Nectaria aruna, Hestia sangira"
Idea durvillei metris,Nectaria metris
Idea durvillei nike,Nectaria nike
Idea durvillei theia,"Nectaria theia, Hestia obiana, Nectaria vosseleri"
Idea durvillei,
Idea electra harmonia,Hestia harmonia
Idea electra,Hestia electra
Idea hypermnestra belia,Hestia belia
Idea hypermnestra hera,Hestia hera
Idea hypermnestra linteata,Hestia linteata
Idea hypermnestra vollenhoveni,Hestia vollenhoveni
Idea hypermnestra,"Hestia belina, Hestia hypermnestra, Hestia arbela, Hestia fumana"
Idea iasonia,"Hestia iasonia, Hestia diabolica, Idea jasonia"
Idea idea aza,Idea aza
Idea idea sula,"Nectaria hertha, Hestia sula"
Idea idea thornei,Idea thornei
Idea idea,"Papilio idea, Idea crameria, Idea agelia, Hestia novella, Hestia pelewensis"
Idea leuconoe athesis,Hestia athesis
Idea leuconoe chersonesia,Nectaria chersonesia
Idea leuconoe clara,"Hestia clara, Hestia missilia, Hestia takabanis, Idea kotoshoensis, Hestia kanamarui"
Idea leuconoe engania,Nectaria engania
Idea leuconoe esanga,Nectaria esanga
Idea leuconoe godmani,Idaea godmani
Idea leuconoe gordita,Hestia gordita
Idea leuconoe javana,Hestia javana
Idea leuconoe jumaloni,"Idea jumaloni, Idea gamaoi"
Idea leuconoe karimatana,Idea karimatana
Idea leuconoe karimondjawae,Hestia karimondjawae
Idea leuconoe lasiaka,Hestia lasiaka
Idea leuconoe mentawaica,Idea mentawaica
Idea leuconoe natunensis,Hestia natunensis
Idea leuconoe niasensis,Idea niasensis
Idea leuconoe nigriana,"Nectaria labuana, Nectaria nigriana, Idea littoralis"
Idea leuconoe obscura,"Hestia obscura, Hestia moira, Hestia caesena, Hestia fregela, Hestia vicetia"
Idea leuconoe princesa,Hestia princesa
Idea leuconoe riukiuensis,"Nectaria nipponica, Hestia riukiuensis"
Idea leuconoe samara,Hestia samara
Idea leuconoe siamensis,Hestia siamensis
Idea leuconoe sibutana,Idea sibutana
Idea leuconoe solyma,Hestia solyma
Idea leuconoe vedana,Nectaria vedana
Idea leuconoe,"Idea roepkei, Hestia koshunus, Hestia kodairai, Hestina jacouleti"
Idea lynceus fumata,Hestia fumata
Idea lynceus niasica,Hestia niasica
Idea lynceus,Hestia reinwardti
Idea malabarica kanarensis,Hestia kanarensis
Idea malabarica,Hestia malabarica
Idea stolli alcine,"Hestia alcine, Hestia virgo, Hestia favorinus"
Idea stolli bintanga,Hestia bintanga
Idea stolli daldorffi,Idea daldorffi
Idea stolli hypata,Hestia hypata
Idea stolli logani,"Hestia diana, Hestia logani, Hestia donovani, Hestia druryi"
Idea stolli thalassica,"Hestia alceste, Hestia thalassica"
Idea stolli,"Hestia mevaria, Hestia stolli, Hestia daldorffi"
Idea tambusisiana hideoi,Idea hideoi
Idea tambusisiana,
Ideopsis fojana,
Ideopsis gaura anapina,Ideopsis anapina
Ideopsis gaura anapis,"Ideopsis bracara, Danais anapis"
Ideopsis gaura canlaonii,Ideopsis canlaonii
Ideopsis gaura cesa,"Ideopsis palawana, Ideopsis cesa"
Ideopsis gaura costalis,"Ideopsis batuna, Gamana costalis"
Ideopsis gaura daos,"Ideopsis infumata, Ideopsis ardana, Idea daos, Idea diardi"
Ideopsis gaura eudora,"Hestia eudora, Gamana sonia"
Ideopsis gaura glaphyra,Ideopsis glaphyra
Ideopsis gaura kajangensis,Ideopsis kajangensis
Ideopsis gaura lingana,Ideopsis lingana
Ideopsis gaura messala,Ideopsis messala
Ideopsis gaura natunensis,Ideopsis natunensis
Ideopsis gaura nigrocostalis,Gamana nigrocostalis
Ideopsis gaura panayana,Ideopsis panayana
Ideopsis gaura pellucida,"Ideopsis itamputi, Ideopsis pellucida"
Ideopsis gaura perakana,Ideopsis perakana
Ideopsis gaura pseudocostalis,Ideopsis pseudocostalis
Ideopsis gaura,Idea? gaura
Ideopsis hewitsonii,
Ideopsis juventa bosnika,Danaus bosnika
Ideopsis juventa chevalieri,Danaida chevalieri
Ideopsis juventa claviger,"Papilio claviger, Danais meganire, Radena buruensis, Danaida ogylla"
Ideopsis juventa curtisi,Radena curtisi
Ideopsis juventa ellida,Danaida ellida
Ideopsis juventa hollandia,Danaus hollandia
Ideopsis juventa homonyma,Danaus homonyma
Ideopsis juventa ishma,"Danais ishma, Radena libussa"
Ideopsis juventa kallatia,Radena kallatia
Ideopsis juventa kinitis,"Radena kinitis, Danais simillima"
Ideopsis juventa kolleri,Danaida kolleri
Ideopsis juventa krakatauae,Danaida krakatauae
Ideopsis juventa lirungensis,Radena lirungensis
Ideopsis juventa longa,Radena longa
Ideopsis juventa luzonica,Radena luzonica
Ideopsis juventa lycosura,Danaida lycosura
Ideopsis juventa manillana,"Radena garia, Radena messana, Danaida hadrumeta, Danaida tipasa, Radena manillana, Danaida galaecia"
Ideopsis juventa mincia,Danaida mincia
Ideopsis juventa nicobarica,Danais nicobarica
Ideopsis juventa phana,"Danais ravida, Radena phana"
Ideopsis juventa piada,Radena piada
Ideopsis juventa pseudosimilis,Danais pseudosimilis
Ideopsis juventa purpurata,Danais purpurata
Ideopsis juventa remota,Danais remota
Ideopsis juventa robinsoni,Danaida robinsoni
Ideopsis juventa sapana,Danaus sapana
Ideopsis juventa satellitica,Radena satellitica
Ideopsis juventa scrobia,Danais scrobia
Ideopsis juventa sequana,Danaida sequana
Ideopsis juventa sitah,Radena sitah
Ideopsis juventa sobrina,"Danaida doreyana, Danais sobrina"
Ideopsis juventa sobrinoides,"Radena eugenia, Danaida metaxa, Radena catella, Radena ribbei, Danais sobrinoides, Radena mangalia, Radena zanira"
Ideopsis juventa sophonisbe,Radena sophonisbe
Ideopsis juventa stictica,Radena stictica
Ideopsis juventa suluana,Danaus suluana
Ideopsis juventa tanais,Radena tanais
Ideopsis juventa tawaya,Radena tawaya
Ideopsis juventa tontoliensis,Danais tontoliensis
Ideopsis juventa turneri,"Danais turneri, Radena georgina"
Ideopsis juventa ultramontana,Danais ultramontana
Ideopsis juventa,"Papilio juventa, Radena nicobarica  , Radena juventa  , Danaus juventa  , Ideopsis catella  , Ideopsis chevalieri  , Ideopsis claviger  , Ideopsis doreyana  , Ideopsis hadrumeta  , Ideopsis homonyma  , Ideopsis krakatauae  , Ideopsis messana  , Ideopsis nicobarica  , Ideopsis piada  , Ideopsis remota  , Ideopsis robinsoni  , Ideopsis simillima  , Ideopsis suluana  , Ideopsis tipasa  , Ideopsis uluana"
Ideopsis klassika,Ideopsis stresemanni
Ideopsis oberthurii,"Radena oberthurii, Danaida oberthueri  , Danaus oberthuri"
Ideopsis similis exprompta,Danais exprompta
Ideopsis similis persimilis,"Danaus purpurascens, Danais persimilis, Danaida hyria"
Ideopsis similis,"Papilio aventina, Danais chinensis, Danaida tragasa"
Ideopsis vitrea arachosia,Ideopsis arachosia
Ideopsis vitrea arfakensis,Ideopsis arfakensis
Ideopsis vitrea chloris,"Ideopsis neleus, Danais chloris, Danais salvini, Ideopsis morotaica"
Ideopsis vitrea inuncta,"Danais inuncta, Ideopsis phaestis"
Ideopsis vitrea iza,Ideopsis iza
Ideopsis vitrea obiana,Ideopsis obiana
Ideopsis vitrea onina,Ideopsis onina
Ideopsis vitrea ribbei,Ideopsis ribbei
Ideopsis vitrea serena,Ideopsis serena
Ideopsis vitrea,"Danais vitrea, Danais oenopia, Danais morotaica  , Danais neleus"
Ideopsis vulgaris contigua,Danaus contigua
Ideopsis vulgaris interposita,"Danaida interposita, Danais majasa, Danais vanhasselti"
Ideopsis vulgaris kambera,Radena kambera
Ideopsis vulgaris lesora,Danaida lesora
Ideopsis vulgaris macra,Radena macra
Ideopsis vulgaris macrina,"Danaida ditiones, Radena macrina"
Ideopsis vulgaris mecrimaga,Danais mecrimaga
Ideopsis vulgaris megaroides,Radena megaroides
Ideopsis vulgaris ocarinis,Danaus ocarinis
Ideopsis vulgaris palawana,Danais palawana
Ideopsis vulgaris restricta,Danaus restricta
Ideopsis vulgaris sumbawana,Radena sumbawana
Ideopsis vulgaris,"Radena vulgaroides, Danais vulgaris, Danaus vulgaris  , Radena vulgaris"
Idioneurula donegani,
Idioneurula erebioides,"Idioneura intermedia, Idioneura moderata, Idioneura erebioides, Idioneura erebina"
Idioneurula eremita,
Idioneurula jacquelinae,"Tamania jacquelineae, Tamania jacquelinae"
Idioneurula socorroi,
Inbio hilara,"Euptychia anacleta, Neonympha hilara"
Issoria altissima mackinnonii,Argynnis mackinnonii
Issoria altissima,Argynnis altissima
Issoria baumanni excelsior,Argynnis excelsior
Issoria baumanni katangae,Brenthis katangae
Issoria baumanni orientalis,Issoria orientalis
Issoria baumanni,"Argynnis alberici, Argynnis baumanni, Argynnis uganda, Prokuekenthaliella baumanni  , Issoria uganda"
Issoria eugenia genia,"Argynnis anargyron, Argynnis genia, Kuekenthaliella tibetana, Kuekenthaliella pulchella"
Issoria eugenia rhea,"Argynnis fulgens, Rathora eugenia  , Clossiana eugenia  , Boloria eugenia"
Issoria eugenia vega,Argynnis vega
Issoria eugenia,Argynnis eugenia
Issoria gemmata,"Kuekenthaliella milarepa, Kuekenthaliella baileyi, Kuekenthaliella wui, Argynnis gemmata"
Issoria hanningtoni imatonga,Argynnis imatonga
Issoria hanningtoni jeanneli,Issoria jeanneli
Issoria hanningtoni,"Argynnis hanningtoni, Prokuekenthaliella hanningtoni"
Issoria lathonia,"Argynnis latonia, Argynnis melaena, Issoria nigroprivataflorens, Argynnis pupillata, Argynnis goetgheburi, Argynnis ardens, Rathora isaeoides, Argynnis messoa, Issoria pallescens, Argynnis nigroprivata, Argynnis fervida, Argynnis paradoxa, Argynnis hungarica, Argynnis issaea, Papilio valdensis, Argynnis florens, Issoria emiflorens, Argynnis magisnigrata, Issoria rubrofusca, Argynnis isaeea, Argynnis postlathonia, Issoria costimaculata, Issoria transversa, Argynnis obscurescens, Argynnis neopina, Argynnis nigriorattenuata, Argynnis sheljuzhkoi, Issoria attenuata, Issoria clara, Issoria garciai, Issoria laufferi, Issoria pseudosaturata, Issoria vareai, Issoria vilarrubiai, Issoria vivesi, Issoria auripupillata, Papilio lathonia, Issoria i-nigrum, Argynnis maximemaculosa, Clossiana caeruleomarginata, Argynnis saturata, Argynnis prima, Argynnis secunda, Argynnis erebina, Argynnis lathonia  , Issoria saturata  , Issoria hungarica  , Issoria florens  , Issoria sheljuzhkoi"
Issoria smaragdifera reducta,Issoria reducta
Issoria smaragdifera,Argynnis smaragdifera
Ithomia agnosia napho,"Ithomia naxo, Ithomia napho"
Ithomia agnosia pellucida,Ithomia pellucida
Ithomia agnosia zikani,Ithomia zikani
Ithomia agnosia,
Ithomia amarilla,
Ithomia arduinna,
Ithomia avella adamsi,Ithomia adamsi
Ithomia avella cesleria,Ithomia cesleria
Ithomia avella deliciae,Ithomia deliciae
Ithomia avella epona,Ithomia epona
Ithomia avella katherineae,Ithomia katherineae
Ithomia avella miraculosa,Ithomia miraculosa
Ithomia avella roberti,Ithomia roberti
Ithomia avella salazari,Ithomia salazari
Ithomia avella,
Ithomia celemia lurida,"Ithomia lurida, Ithomia splendens"
Ithomia celemia plaginota,Ithomia plaginota
Ithomia celemia,Ithomia candescens
Ithomia cleora,"Ithomia spruceana, Ceratinia chimborazana"
Ithomia diasia galata,Ithomia galata
Ithomia diasia hippocrenis,Ithomia hippocrenis
Ithomia diasia leucophaena,Ithomia leucophaena
Ithomia diasia morena,"Ithomia browni, Ithomia morena"
Ithomia diasia ossuna,Ithomia ossuna
Ithomia diasia,
Ithomia drymo,"Hymenitis phono, Papilio diaphana  , Ithomia phono"
Ithomia eleonora,Ithomia beata
Ithomia ellara,Ithomia eilara
Ithomia heraldica,
Ithomia hyala sincerus,Ithomia sincerus
Ithomia hyala,
Ithomia hymettia,Napeogenes hymettia
Ithomia iphianassa alienassa,Ithomia alienassa
Ithomia iphianassa anaphissa,"Ithomia pepita, Ithomia anaphissa"
Ithomia iphianassa ethilla,Ithomia ethilla
Ithomia iphianassa panamensis,"Ceratinia negreta, Ceratinia boucardi, Ithomia panamensis"
Ithomia iphianassa phanessa,Ithomia phanessa
Ithomia iphianassa,"Ceratinia iphianassa, Ceratinia pumensis"
Ithomia jucunda bolivari,Ithomia bolivari
Ithomia jucunda centromaculata,Ithomia centromaculata
Ithomia jucunda lamasi,Ithomia lamasi
Ithomia jucunda,
Ithomia lagusa adelinda,"Ithomia nigrimargo, Ithomia adelinda"
Ithomia lagusa linda,Ithomia linda
Ithomia lagusa peruana,"Ithomia peruana, Dircenna abendrothi"
Ithomia lagusa rachelii,Ithomia rachelii
Ithomia lagusa theuda,"Ithomia mengeli, Ithomia theuda"
Ithomia lagusa,
Ithomia leila,
Ithomia lichyi,
Ithomia neivai dalmeidai,Ithomia dalmeidai
Ithomia neivai,
Ithomia patilla,"Ithomia psyche, Ithomia cotytto"
Ithomia praeithomia,
Ithomia pseudoagalla,
Ithomia salapia aquinia,Ithomia aquinia
Ithomia salapia ardea,"Ithomia ardea, Ithomia oiticicai, Ithomia diaphana"
Ithomia salapia derasa,"Ithomia travella, Ithomia mellilla, Ithomia soligena, Ithomia derasa"
Ithomia salapia,
Ithomia terra jasinskii,Ithomia jasinskii
Ithomia terra oenanthe,"Ithomia oenonthe, Ithomia oenanthe, Ithomia salcata"
Ithomia terra terrana,Ithomia terrana
Ithomia terra vulcana,Ithomia vulcana
Ithomia terra,
Ithomia xenos,Dircenna xenos
Janatella fellula,"Phyciodes fellula, Phyciodes abas"
Janatella hera,"Papilio hera, Phyciodes hera  , Phyciodes ianthe"
Janatella leucodesma,"Eresia cincta, Eresia leucodesma, Phyciodes leucodesma  , Anthanassa cincta  , Anthanassa leucodesma"
Junea doraete antissa,Polymastus antissa
Junea doraete enipeus,Polymastus enipeus
Junea doraete gideon,Polymastus gideon
Junea doraete,Daedalma doraete
Junea dorinda quasinegra,Junea quasinegra
Junea dorinda whitelyi,Daedalma whitelyi
Junea dorinda,"Daedalma emilia, Daedalma dorinda, Polymastus dorinda  , Junea dorinde"
Junonia adulatrix,Precis adulatrix
Junonia africana,Precis africana
Junonia almana battana,Junonia battana
Junonia almana buana,Junonia buana
Junonia almana,"Alcyoneis almane, Cynthia acanthi, Papilio almana, Papilio asterie, Junonia nigriata, Junonia nikobariensis, Junonia sumbae, Precis xerophylla, Junonia javana, Precis fluentis, Precis inauditus, Precis liquefactus"
Junonia ansorgei,"Kallima incerta, Kallima ansorgei"
Junonia artaxia,"Precis nachtigalii, Precis nobilitata, Precis nachtigali"
Junonia atlites acera,Precis acera
Junonia atlites,"Papilio atlites, Papilio laomedia"
Junonia chorimene,"Precis angulata, Vanessa orthosia, Salamis ethyra, Vanessa chorimene"
Junonia coenia grisea,"Junonia schraderi, Junonia wilhelmi, Junonia grisea"
Junonia coenia,"Junonia weidechameri, Junonia weidenhameri, Junonia bergi, Papilio quinatzin, Precis rosa, Precis rubrosuffusa, Junonia weidenhammeri"
Junonia cymodoce lugens,Kallima lugens
Junonia cymodoce,"Papilio cymodoce, Kamilla cymodoce"
Junonia cytora,Salamis cytora
Junonia divaricata houlberti,Junonia houlberti
Junonia divaricata mitaraka,Junonia mitaraka
Junonia divaricata,
Junonia erigone antigone,Junonia antigone
Junonia erigone expansa,Precis expansa
Junonia erigone gardineri,"Precis celebensis, Junonia gardineri"
Junonia erigone iona,"Junonia iona, Precis himera"
Junonia erigone leucophora,Junonia leucophora
Junonia erigone tegea,Precis tegea
Junonia erigone tristis,Precis tristis
Junonia erigone walkeri,Precis walkeri
Junonia erigone wetterensis,Precis wetterensis
Junonia erigone,"Papilio erigone, Precis persiccata"
Junonia evarete dougueti,Junonia dougueti
Junonia evarete flirtea,"Junonia huebneri, Papilio flirtea, Precis obscurata"
Junonia evarete fuscescens,Precis fuscescens
