Sample_ID,Voucher_ID ,Project_Code,Gene_Kit ,Voucher_Institution,Specimen_Provider ,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,Sub-Species,Valid_Name,Tissue_Type,Voucher_Type,Sex,Country,Province,Island,Locality,Latitude,Longitude,Elevation ,Collection_Date,Collection_Day,Collection_Month,Collection_Year,Collector,Specimen_Identified_by,Type_Species,Out_Group,Priority_level,Submission_Code,Submission_Date
HD-17-Q523,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,,,,,,,August,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q524,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q525,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q526,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q527,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Bali,Bali,,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q528,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q529,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q530,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q531,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Jambi,Sumatra,,,,,4/26/2017,26,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q532,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Jambi,Sumatra,,,,,4/27/2017,27,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q533,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q534,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q535,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,North Sumatra,Sumatra,Silalahi,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q536,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q537,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q538,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q539,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q540,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Riau,Singkep,,,,,,,March,2000,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q541,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Ambon,,,,,,,November,2012,,,,,,CCNY-BN-006,17-Dec-17
