SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
58,58,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hidari,bhawani,,Hidari bhawani,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,8. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
59,59,Hesp,,,,Papilionoidea,Hesperiidae,,,,Isma,bononia,idyalis,Isma bononia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,8. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
60,60,Hesp,,,,Papilionoidea,Hesperiidae,,,,Iambrix,stellifer,,Iambrix stellifer,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,8. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
61,61,Hesp,,,,Papilionoidea,Hesperiidae,,,,Bibasis,sena,uniformis,Bibasis sena,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,10. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
62,62,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pelopidas,agna,agna,Pelopidas agna,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,10. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
63,63,Hesp,,,,Papilionoidea,Hesperiidae,,,,Astictopterus,jama,,Astictopterus jama,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,12. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
64,64,Hesp,,,,Papilionoidea,Hesperiidae,,,,Iton,semamora,semamora,Iton semamora,,,Female,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,4. May. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
65,65,Hesp,,,,Papilionoidea,Hesperiidae,,,,Parnara,apostata,apostata,Parnara apostata,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,9. May. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
66,66,Hesp,,,,Papilionoidea,Hesperiidae,,,,Potanthus,ganda,ganda,Potanthus ganda,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,23. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
67,67,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tagiades,japetus,ravi,Tagiades japetus,,,Male,Laos,Vientiane,,Tha Ngone,N18∞05.103,E102∞40.763,178m,25. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
68,68,Hesp,,,,Papilionoidea,Hesperiidae,,,,Psolos,fuligo,subfasciatus,Psolos fuligo,,,Female,Laos,Nahin Pass,,,N18∞11.907,E104∞35.848,590m,24. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
69,69,Hesp,,,,Papilionoidea,Hesperiidae,,,,Suastus,minutus,aditia,Suastus minutus,,,Male,Laos,Nahin Pass,,,N18∞11.907,E104∞35.848,590m,24. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
70,70,Hesp,,,,Papilionoidea,Hesperiidae,,,,Koruthaialos,butleri,,Koruthaialos butleri,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,20. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
71,71,Hesp,,,,Papilionoidea,Hesperiidae,,,,Sebastonyma,dolopia,,Sebastonyma dolopia,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,20. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
72,72,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,danda,,Hasora danda,,,Female,Laos,Lak Sao to Nakhai 40km,,,N17∞55.199,E105∞03.778,556m,23. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
73,73,Hesp,,,,Papilionoidea,Hesperiidae,,,,Seseria,dohertyi,salex,Seseria dohertyi,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,20. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
74,74,Hesp,,,,Papilionoidea,Hesperiidae,,,,Abraximorpha,davidii,davidii,Abraximorpha davidii,,,Male,Laos,Laksao,,near border to Vietnam,N18∞22.352,E105∞09.098,663m,20. Apr. 2015,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
75,75,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,badra,badra,Hasora badra,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,31. May. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
76,76,Hesp,,,,Papilionoidea,Hesperiidae,,,,Quedara,monteithi,monteithi,Quedara monteithi,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,14. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
77,77,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tapena,thwaitesi,bornea,Tapena thwaitesi,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
78,78,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,chromus,chromus,Hasora chromus,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,4. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
79,79,Hesp,,,,Papilionoidea,Hesperiidae,,,,Burara,etelka,,Burara etelka,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,29. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
